cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n107,0,0,0,9,6,4,6,9,5,8,6,2,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,7,4,5,5,0,5,7,1,5,0,9,7,5,0,4,1,6,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,9,5,2,1,6,7,8
n110,0,0,0,0,6,4,6,9,5,6,6,2,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,2,4,5,5,0,9,7,0,5,2,9,7,6,0,4,1,10,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,9,5,2,1,6,7,8
n109,0,0,0,9,6,4,6,9,5,0,6,2,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,2,4,5,5,0,0,7,0,5,2,9,7,6,6,4,1,0,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,9,5,2,1,6,7,8
n114,6,0,0,9,6,4,6,0,5,0,6,0,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,1,4,5,5,0,0,7,5,5,0,9,7,4,9,4,1,6,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,4,5,2,1,6,7,8
n113,6,0,0,9,6,4,6,0,5,0,6,0,1,8,1,6,8,7,9,7,2,6,7,1,6,3,4,6,7,1,4,5,5,0,0,7,5,5,0,9,7,4,9,4,1,6,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,0,5,2,1,6,7,8
n116,6,6,2,9,6,4,6,10,5,0,6,0,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,1,4,5,5,0,0,7,5,5,0,9,7,4,9,4,1,0,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,0,5,2,1,6,7,8
n115,6,6,2,9,6,4,6,0,5,0,6,0,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,1,4,5,5,0,0,7,5,5,8,9,7,4,9,4,1,0,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,0,5,2,1,6,7,8
n122,2,10,2,2,6,4,6,9,5,9,6,0,1,8,1,6,8,6,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,0,0,7,0,5,0,9,7,0,0,4,1,7,8,3,7,0,7,7,1,7,1,10,2,7,5,1,1,1,1,9,5,2,1,10,7,8
n121,2,0,2,2,6,4,6,9,5,9,6,0,1,8,1,6,8,6,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,0,7,7,0,5,0,9,7,0,0,4,1,7,8,3,7,0,7,7,1,7,1,10,2,7,5,1,1,1,1,9,5,2,1,10,7,8
n124,2,10,2,2,6,4,6,9,5,0,6,0,1,8,1,6,8,6,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,0,7,7,0,5,7,9,7,0,0,4,1,7,8,3,7,0,7,7,1,0,1,10,2,7,5,1,1,1,1,9,5,2,1,10,7,8
n123,2,10,2,2,6,4,6,9,5,0,6,0,1,8,1,6,8,6,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,1,0,7,0,5,7,9,7,0,0,4,1,7,8,3,7,5,7,7,1,0,1,10,2,7,5,1,1,1,1,9,5,2,1,10,7,8
n128,0,7,0,2,6,4,6,1,5,0,6,0,1,8,1,6,8,6,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,7,0,7,0,5,9,9,7,8,3,4,1,7,8,3,7,0,7,7,1,1,1,10,2,7,5,1,1,1,1,9,5,2,1,0,7,8
n127,0,7,7,2,6,4,6,1,5,2,6,0,1,8,1,6,8,4,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,7,0,7,0,5,0,9,7,8,3,4,1,7,8,3,7,0,7,7,1,1,1,10,2,7,5,1,1,1,1,9,5,2,1,0,7,8
n130,0,7,7,2,6,4,6,0,5,0,6,5,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,0,0,7,9,5,6,9,7,0,3,4,1,7,8,3,7,0,7,7,1,1,1,10,2,7,5,1,1,1,1,9,5,2,1,0,7,8
n129,0,7,0,2,6,4,6,0,5,0,6,5,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,6,4,10,10,0,0,7,6,5,0,9,7,0,3,4,1,7,8,3,7,0,7,7,1,1,1,10,2,7,5,1,1,1,1,9,5,2,1,0,7,8
n142,0,2,6,0,6,4,0,1,5,0,6,0,1,0,1,0,3,8,9,6,5,6,0,1,6,2,4,6,7,7,4,5,5,5,1,7,5,10,3,9,6,10,3,4,1,0,8,10,6,0,7,7,6,2,6,0,8,7,0,1,1,1,1,6,5,2,0,1,1,0
n141,0,2,6,0,6,4,0,1,5,0,6,0,1,0,1,0,3,8,9,6,5,6,0,1,6,2,4,6,7,7,4,5,0,5,1,7,5,10,3,9,6,10,3,4,1,0,8,10,6,0,7,7,6,2,6,0,8,7,0,1,1,1,1,6,5,2,0,1,1,7
n144,0,2,6,8,6,4,0,1,5,7,6,5,1,0,1,0,3,2,9,6,5,6,0,1,6,2,4,6,7,7,4,5,0,5,1,7,5,10,3,9,6,10,3,4,1,0,8,7,6,0,7,7,6,2,0,4,10,7,0,1,1,1,1,6,5,2,0,1,0,0
n143,0,2,6,1,6,4,0,1,5,7,6,0,1,0,1,5,3,2,9,6,5,6,0,1,6,2,4,6,7,7,4,5,0,5,1,7,5,10,3,9,6,10,3,4,1,0,8,0,6,0,7,7,6,2,0,4,0,7,0,1,1,1,1,6,5,2,0,1,0,0
